id;name;nb_cal;ingredients;description;image;nb_likes;recipe_cooking_time;recipe_type;diet;difficulty;creation_date
EOIFN-13N8S-X001;Crème minceur au navet;113;500 g de petits navets\n20 g de margarine allégée spécial cuisson\n10 g de sucre\n50 cl de bouillon de légumes\n5 cl de porto\n15 cl de crème liquide allégée à 3 pourcent de MG\n1 c. à café de thym séché\npoivre;ETAPE 1\nPelez les navets et Coupezles grossièrement. Dans une sauteuse ou une casserole, faites fondre la margarine. Ajoutez-y les navets et faites-les revenir à feu vif. Saupoudrez-les de sucre. Puis, faites-les bien dorer 5 min en remuant à l'aide d'une cuillère en bois.\n\nETAPE 2\nVersez le porto, et une fois qu'il est entièrement évaporé, ajoutez le bouillon de légumes. Faites cuire à couvert pendant 20 min à feu moyen. Ajoutez la crème liquide, le thym et le poivre. Mélangez le tout.\n\nETAPE 3\nMixez la préparation à l'aide d'un mixeur électrique. Rectifiez l'assaisonnement, rajoutez de l'eau ou de la crème si besoin. Versez ensuite la préparation dans des bols puis dégustez.;;57;00:45:00;Entree;0;Facile;2018-01-01
EOIFN-13N8S-X002;Émincé de poulet à l'estragon;170;3 Escaloppe de poulet (viande seulement)\n2 gousses d'ail\n1 oignon blanc\n2 cuillères à soupe de Crème fraiche épaisse (30 pourcent MG et plus)\n1 cuillère à soupe de moutarde\n250 millilitres de vin blanc\n250 millilitres d'eau\n1 cuillère à café de fond de volaille\n2 cuillères à soupe d'Huile d'olive\n3 cuillères à soupe d'estragon;ETAPE 1\nÉpluchez et émincez l'oignon\n\nETAPE 2\nNettoyez et coupez les champignons en 2.\n\nETAPE 3\nPelez, dégermez et écrasez les gousses d'ail.\n\nETAPE 4\nCoupez les escalopes en fines lanières et les badigeonner de moutarde.\n\nETAPE 5\nDans une sauteuse, chauffez l'huile et faire revenir les morceaux de viande. Sel, poivre. Mélangez et réservez.\n\nETAPE 6\nMettez les gousses d'ail et l'oignon. Les faire revenir 2 minutes en remuant constamment.\n\nETAPE 7\nVersez le vin, l'eau et le fond de veau.\n\nETAPE 8\nSel, poivre. Mélangez. Cuire 2 minutes.\n\nETAPE 9\nAjoutez l'estragon.\n\nETAPE 10\nAmenez à ébullition à feu moyen/vif.\n\nETAPE 11\nRemettez les escalopes ainsi que les champignons. Poursuivre la cuisson 15 minutes à feu doux.\n\nETAPE 12\nIncorporez la crème fraiche. Remuez et cuire 2 minutes.\n\nETAPE 13\nServir avec du riz par exemple, ou des pommes de terre bouillies.;;174;00:25:00;Plat;0;Moyen;2018-01-01
EOIFN-13N8S-X003;Salade de melon/feta et crème de vinaigre balsamique ;165;2 melon de cavaillon\n125 grammes de Feta\n125 grammes de Tomate cerise\n5 grammes de creme de vinaigre balsamique;ETAPE 1\nCouper en 2 le melon, retirer à l'aide d'une cuillère à soupe les graines.\n\nETAPE 2\nA l'aide d'un petit boulier, faire des petites boules de melon.\n\nETAPE 3\nCouper la feta en petits cubes.\n\nETAPE 4\nDisposer ensuite, dans des assiettes creuses, les boules de melon, les cubes de feta, les tomates cerises.\n\nETAPE 5\nAjouter un trait de crème de vinaigre... et c'est prêt !;;34;00:10:00;Entree;1;Facile;2018-01-01
EOIFN-13N8S-X004;Pain de thon de Florence ;170;2 Echalote\n250 grammes de Thon albacore\n3 Oeuf entier (cru)\n150 grammes de Fromage blanc (1 pourcent MG)\n2 cuillères à soupe de Crème fraiche épaisse légère (15-20 pourcent MG)\n2 cuillères à soupe de Chapelure;ETAPE 1\nDans un saladier : intégrer et mélanger (jusqu'à obtenir un mélange homogène) les échalottes épluchées et hachées, le thon égoutté, les oeufs, le fromage blanc, la crème fraiche, la chapelure.\n\nETAPE 2\nSaler et poivrer.\n\nETAPE 3\nVerser la préparation dans un moule à cake allant au four.\n\nETAPE 4\nCuire 40 minutes à 180 degrés.;;12;00:50:00;Entree;0;Facile;2018-01-01
EOIFN-13N8S-X005;Pates farcies au Brie ;175;250 grammes de Pates à farcir\n250 grammes de Mozzarella\n20 centilitres de Crème liquide demi-écrémée\n75 grammes de lard fumé\n200 grammes de Brie\n2 cuillères à soupe de Crème fraiche épaisse légère (15-20 pourcent MG)\n1 cuillère à soupe de Ciboulette fraiche\n1 cuillère à café d'Huile d'olive;ETAPE 1\nCommencons par préparer la sauce :\nFaite chauffer la crème fraiche liquide sans la monter à ébullition. Lorsque celle-ci est bin chaude, incorporez la mozzarella coupée en gros morceaux. Mélangez jusqu'à ce qu'elle soit bien fondu puis laissez infuser le lard coupé en morceaux pendant une dizaines de minutes à feu minimum. Après avoir retirer le lard, salez et poivrez selon vos gout et réservez.\n\nETAPE 2\nPour réaliser la farce :\nMixez le Brie avec deux grosses cuillères à soupe de crème fraiche entière. Ajoutez les morceaux de lard, la ciboulette ciselée, l'huile d'olive, du sel et du poivre puis remixez jusqu'à obtenir un mélange homogène. Ajustez l'assaisonnement selon vos gouts. Réservez.\n\nETAPE 3\nPréchauffez votre four à 120 degrés C, thermostat 5, chaleur tournante.\n\nETAPE 4\nFaites cuire vos pates dans un grand volume d'eau salée, 4 minutes de moins que le temps indiqué sur le paquet. Avant de les farcir, passez les sous l'eau froide pour arrêter la cuisson. Laissez les refroidir et farcissez les à l'aide d'une poche à douille ou d'un sachet congélation coupez dans l'angle.\n\nETAPE 5\nRépartissez les pates dans un plat. Nappez les avec la totalité de la sauce. Si vous le souhaitez, saupoudrez les de fromage rapé puis enfourner environ 25 minutes.\n\nETAPE 6\nA l'assiette, saupoudrez de noix concassées.;;19;00:45:00;Plat;0;Moyen;2018-01-01
EOIFN-13N8S-X006;Risotto de crevettes à l'ail;165;500 grammes de Crevette\n1 Oignon\n2 cuillères à soupe d'Huile d'olive\n20 grammes de Beurre doux\n1 Ail frais\n1 Bouillon de poisson dégraissé\n1 litre d'Eau\n20 centilitres de Vin blanc (11 degrés)\n400 grammes de Riz arborio\n1 cuillère à soupe de Parmesan rapé\n1 Tomate concassée\n1 Poivron jaune;ETAPE 1\nDécortiquer les crevettes et les réserver.\n\nETAPE 2\nPresser l'ail et le mélanger avec 10 g de beurre mou.\n\nETAPE 3\nFaire rotir des oignons dans un wok avec de l'huile d'olive et une noix de beurre.\n\nETAPE 4\nDans une casserole faire bouillir 1 litre d'eau et ajouter un cube de bouillon de poisson dégraissé.\n\nETAPE 5\nFaire chauffer légèrement le vin blanc.\n\nETAPE 6\nUne fois les oignons bien dorés, ajouter le riz et le laisser s'imprégner de l'huile.\n\nETAPE 7\nAjouter le vin blanc sans arrêter de tourner le riz.\n\nETAPE 8\nEnsuite versez une louche de bouillon à chaque fois que le riz a imprégné tout le liquide. Il est impératif de ne pas cesser de remuer le riz quand il s'imprègne.\n\nETAPE 9\nUne fois tout le bouillon terminé, ajouter le parmesan rapé, les tomates concassées, le poivron coupé en dés (peau enlevée), une noix de beurre d'ail et en dernier, les crevettes décortiquées.;;14;00:45:00;Plat;0;Moyen;2018-01-01
EOIFN-13N8S-X007;Magret de canard sauce camembert;166;2 magrets de canard\n150 grammes de Camembert\n150 grammes de Crème fraiche épaisse légère (15-20 pourcent MG)\n20 centilitres de vin blanc doux\n1 pincée de Sel de table\n1 pincée de Poivre blanc;ETAPE 1\nQuadrillez les magrets coté graisse au couteau.\n\nETAPE 2\nDéposez les magrets dans une poêle coté graisse et faire cuire 7 mn.\n\nETAPE 3\nRetournez les magrets et cuire encore 4 mn.\n\nETAPE 4\nEn fin de cuisson, les mettre de coté.\n\nETAPE 5\nRetirez la graisse de la poêle, la remettre sur le feu et déglacez avec le vin blanc.\n\nETAPE 6\nIncorporez le camembert en petits morceaux après avoir retiré la croute.\n\nETAPE 7\nFaites fondre, ajoutez la crème et laissez réduire la sauce.\n\nETAPE 8\nServez avec les magrets découpés en tranches.;;15;00:35:00;Plat;0;Difficile;2018-01-01
EOIFN-13N8S-X008;Velouté de courgettes au curry;168;1 kilogramme de Courgette\n1 Oignon\n1 pincée d'Ail en poudre\n10 centilitres de Crème liquide demi-écrémée\n50 centilitres de Bouillon de légumes\n2 cuillères à café de Curry en poudre\n1 pincée de Poivre noir;ETAPE 1\nCoupez les courgettes pelées une lanières sur deux, en dés.\n\nETAPE 2\nFaites revenir l'oignon dans de l'huile d'olive avec le curry et l'ail. Ajoutez les cubes de courgettes, le bouillon et laissez mijoter 20 min.\n\nETAPE 3\nMixez le tout. Ajoutez la crème et du poivre.;;138;00:40:00;Entree;1;Facile;2018-01-01
EOIFN-13N8S-X009;Timballes aux 3 légumes et jambon;177;220 grammes de Courgette\n130 grammes de Pomme de terre\n190 grammes de potimarron\n80 grammes de Tranche de jambon de dinde\n15 grammes de Beurre demi-sel;ETAPE 1\nLaver la courgette, et couper les extrémités.\n\nETAPE 2\nA l'aide d'une mandoline, en faire 8 bandes assez fines.Garder le reste.\n\nETAPE 3\nDisposer les bandes dans une assiette, et les passer au micro-ondes 2 mn à pleine puissance. cela permet de les précuire et de les rendre malléables.Laisser refroidir.\n\nETAPE 4\nPendant ce temps, couper le potimarron en tranches, l'éplucher le te couper en petits dés.\n\nETAPE 5\nCouper le reste de la courgette en dés.Eplucher la pomme de terre et la couper en dés.\n\nETAPE 6\nSuperposer les 2 tranches de jambon de dinde, et à l'aide d'un cercle à patisserie, découper 4 cercles et 4 demi cercles dans le reste des tranches.\n\nETAPE 7\nDans le panier du Cookéo (avec 200ml d'eau) ou d'une cocotte minute, mettre les dés de courgette, pomme de terre et potimarron sans les mélanger et cuire 6 mn sous pression.\n\nETAPE 8\nPendant ce temps, huiler l'intérieur des 2 cercles à patisserie et les poser sur une plaque recouverte de papier sulfurisé.\n\nETAPE 9\nGarnir les cercles avec les bandes de courgette en les faisant se chevaucher et laisser le surplus de longueur dépasser.\n\nETAPE 10\nA l'aide d'une fourchette, faire une purée de chaque légume séparément en y ajoutant à chaque 5 gr de beurre, saler et poivrer\n\nETAPE 11\nA l'aide d'une petite cuillère, garnir chaque cercle et dans l'ordre :\npurée de pomme de terre\n1 cercle de jambon\npurée de courgette\n1 cercle de jambon\npurée de potimarron\n2 demi-cercles de jambon\net finir en rabattant le surplus des bandes courgette sur le jambon.\n\nETAPE 12\nChauffer le four à 200 degrés  et cuire 10 mn.;;0;00:26:00;Plat;0;Difficile;2018-01-01
EOIFN-13N8S-X010;Melon - Jambon;180;2 Melon casaba\n5 Jambon cru\n50 grammes de Tomate cerise;ETAPE 1\nCouper le melon en fine tranche.\n\nETAPE 2\nCouper le jambon cru en deux et l'enrouler à l'aide de cure-dent\n\nETAPE 3\nAjouter les tomates cerises, et dégustez!;;1;00:10:00;Entree;0;Facile;2018-01-01
